,subject,task,response_rate,percent_lottery,percent_risk,percent_ambiguity,conf_1,conf_2,conf_3,conf_4,negLL,gamma,beta,alpha,at_bound,LL,LL0,AIC,BIC,R2,correct,prob_span,fig_fn
23,23_IDM_0024,CRDM,0.963855422,0.625,0.7,0.5,0,9,23,48,18.393266,3.212647488,0.174547108,0.518547824,0,-18.393266,-55.45177444,42.786532,45.55058527,0.668301579,0.9,0.998386739,23_IDM_0024/crdm/23_IDM_0024_crdm_model_fit.eps
24,23_IDM_0025,CRDM,0.963855422,0.5625,0.58,0.533333333,7,20,23,30,19.03871931,2.192855408,0.634968797,0.665826935,0,-19.03871931,-55.45177444,44.07743862,46.84149189,0.656661676,0.8625,0.996207106,23_IDM_0025/crdm/23_IDM_0025_crdm_model_fit.eps
25,23_IDM_0026,CRDM,0.963855422,0.4375,0.46,0.4,4,10,27,38,14.36361419,1.134181238,0.365673429,0.986094003,0,-14.36361419,-55.45177444,34.72722838,37.49128165,0.740971063,0.9375,0.992033367,23_IDM_0026/crdm/23_IDM_0026_crdm_model_fit.eps
26,23_IDM_0027,CRDM,0.963855422,0.525,0.56,0.466666667,0,0,12,68,10.38662851,2.774450769,0.497424887,0.750892118,0,-10.38662851,-55.45177444,26.77325702,29.53731029,0.812690782,0.95,0.999691207,23_IDM_0027/crdm/23_IDM_0027_crdm_model_fit.eps
27,23_IDM_0028,CRDM,0.963855422,0.6,0.72,0.4,3,11,47,19,11.33919613,5.667837377,-0.560385424,0.452998981,0,-11.33919613,-55.45177444,28.67839227,31.44244553,0.795512475,0.95,0.999961925,23_IDM_0028/crdm/23_IDM_0028_crdm_model_fit.eps
28,23_IDM_0029,CRDM,0.951807229,0.607594937,0.693877551,0.466666667,3,11,29,36,23.59604734,3.101226401,-0.266349734,0.433222293,0,-23.59604734,-54.75862726,53.19209468,55.93099039,0.569089867,0.860759494,0.993987325,23_IDM_0029/crdm/23_IDM_0029_crdm_model_fit.eps
29,23_IDM_0030,CRDM,0.963855422,0.475,0.5,0.433333333,3,31,19,26,34.00405926,0.618937749,0.601351528,0.834692485,0,-34.00405926,-55.45177444,74.00811852,76.77217179,0.386781404,0.8,0.887242063,23_IDM_0030/crdm/23_IDM_0030_crdm_model_fit.eps
30,23_IDM_0031,CRDM,0.951807229,0.658227848,0.693877551,0.6,7,11,14,47,3.63268643,8,0.300821771,0.511735291,1,-3.63268643,-54.75862726,13.26537286,16.00426856,0.933660016,0.987341772,0.999999871,23_IDM_0031/crdm/23_IDM_0031_crdm_model_fit.eps
31,23_IDM_0032,CRDM,0.963855422,0.7125,0.66,0.8,8,11,14,47,23.65993333,2.693485031,0.665280718,0.494050271,0,-23.65993333,-55.45177444,53.31986666,56.08391993,0.573324144,0.8875,0.994119778,23_IDM_0032/crdm/23_IDM_0032_crdm_model_fit.eps
32,23_IDM_0033,CRDM,0.951807229,0.582278481,0.58,0.586206897,1,4,13,61,44.45068398,0.863546635,0.216160339,0.545709772,0,-44.45068398,-54.75862726,94.90136795,97.64026366,0.188243274,0.772151899,0.826782683,23_IDM_0033/crdm/23_IDM_0033_crdm_model_fit.eps
33,23_IDM_0034,CRDM,0.951807229,0.683544304,0.7,0.655172414,24,22,12,21,21.32842901,2.973316208,0.397516631,0.507370182,0,-21.32842901,-54.75862726,48.65685802,51.39575373,0.610501028,0.898734177,0.997062941,23_IDM_0034/crdm/23_IDM_0034_crdm_model_fit.eps
34,23_IDM_0035,CRDM,0.963855422,0.9125,0.86,1,0,10,25,45,4.06616555,8,4.167,0.256056925,1,-4.06616555,-55.45177444,14.1323311,16.89638437,0.926672039,0.9875,0.986039628,23_IDM_0035/crdm/23_IDM_0035_crdm_model_fit.eps
